Id|FirstName|LastName|Gender|Designation|City|Country|Year
1|Jervis|Roll|Male|Director of Sales|Thi Tran Ngoc Lac|Vietnam|a2021
2|Gordon|Maltster|Male|Marketing Manager|Mabu|China|2021
3|Griff|Godsafe|Male|Engineer|Kipit|Philippines|2021
4|Gracie|Franken|Female|Assistant Manager|Xiabuji|China|2021
5|Joelly|Wellbank|Female|Account Coordinator|Whitehorse|Canada|2021
6|Bab|Havock|Female|Accountant II|Basyan|Egypt|2021
7|Carmine|Courage|Female|Account Coordinator|Boyeros|Cuba|2021
8|Estella|Marvell|Female|Structural Analysis Engineer|Stettler|Canada|2021
9|Celie|Trevaskiss|Female|Assistant Manager|Criuleni|Moldova|2021
10||Ranyell|Male|Research Associate|Angatel|Philippines|2021

@Copyrights NPN Training - www.npntraining.com
